gate_id,package,status,evidence,blocked_claims
geometry_primitive,Package B,pass,"TrapezoidCrossSection preserves unclipped bottom width, closure status, center support, and wall-normal support","not a measured geometry claim"
rectangle_preservation,Package B,pass,"ideal_rectangle keeps rectangular sampler/support/wall-gap identities","not sidewall-aware runtime"
runtime_top_aperture_binding,Package A/D preflight,pass,"mask_width, top_cd, and post_bias_top_cd runtime binding requires runtime_top_aperture_nm, top_cd_bias_nm, top_cd_bias_source, and numeric consistency","not mask/top-CD promotion to runtime aperture"
descriptor_identity_signature_binding,Package A/D preflight,pass,"PRS/EAS sidewall v2 signatures bind angle convention, COMSOL angle, top/depth/bottom dimensions, source descriptor hash, runtime binding version, closure status, closure policy, and runtime guard status","not stale descriptor cache reuse"
runtime_aperture_signature_unknown_guard,Package A/D preflight,pass,"when runtime_top_aperture_nm is absent from the row, PRS/EAS sidewall v2 signatures may only carry runtime_top_aperture_nm=unknown","not stale numeric runtime aperture cache identity"
measured_profile_lookup_guard,Package A/B,pass,"measured_profile_lookup remains blocked metadata-only until actual profile load, hash, validation, and propagation exist; loaded/validated/hash/status fields are signature-bound","not measured geometry"
measured_profile_batch_signature_guard,Package B,pass,"run_single_case_batch preserves configured-but-unloaded measured_profile_lookup as metadata-only and blocked runtime state in summary and observation_signature","not measured geometry or runtime profile propagation"
measured_geometry_claim_loaded_validated_guard,Package A,pass,"descriptor v2 geometry_claim_level=measured_geometry requires measured_profile_loaded=true and measured_profile_validated=true in addition to measured source, path, and sha256 metadata","not path/hash-only measured geometry promotion"
sampler_signature_actual_path,Package B,pass,"event-loop and pure-advection block tests bind initial_position_wall_distance_model=trapezoid_signed_wall_distance_v1","not production recomputation"
prs_signature_guard,Package D preflight,pass,"PRS sidewall v2 requires sampler/support/wall-distance signature fragments and row binding","not PRS production data"
package_c_wall_distance_gate,Package C/D preflight,pass,"wall_distance basis/source-basis requires includes_trajectory_near_wall_metrics=true and package_C_validation_status=pass","not validated hindered diffusion"
prs_runtime_allowlist,Package D preflight,pass,"propagated trapezoid PRS allows only trapezoid_accessible_area_v1, plug flow, and declared boundary states","not trapezoid Poiseuille or specular reflection"
prs_flow_control_allowlist,Package D preflight,pass,"propagated trapezoid PRS allows only fixed_velocity flow_control_mode until a compatible fixed-pressure trapezoid hydraulic model exists","not fixed-pressure or q_ch weighting"
eas_propagated_reason_guard,Package D preflight,pass,"propagated sidewall EAS rows reject nonblank geometry_not_propagated_reasons, matching PRS propagation-status usage","not propagated/audit-state mixing"
eas_generic_surrogate_guard,Package D preflight,pass,"generic W_eff_surrogate_nm must alias a named sidewall surrogate and eta/rank proxies are disabled/no-rank","not true W_eff, route rank, or q_ch"
claim_blacklist,All packages,pass,"forbidden exact columns include rank, route_rank, sidewall_rank, JOINT_ROUTE_CLASS, q_ch_weight, q_ch_weighting, W_eff, score, route_score, winner, yield, detection_probability","no route winner or fabrication release"
flow_rate_claim_blacklist,All packages,pass,"sidewall PRS/EAS artifacts reject bare flow_rate and Q columns unless a future formal q_ch sidecar gate authorizes them","not q_ch or COMSOL Q/proxy promotion"
sidewall_aware_shortcut_guard,All packages,pass,"positive sidewall_aware=true shortcut fields are rejected; explicit sidewall v2 schema/status fields are required","not broad boolean claim promotion"
optical_reference_solver,Package C/D,blocked,"reference field remains proxy/blocked under trapezoid unless solver artifact exists","not optical solver output"
wet_transport_claims,Package C/D,blocked,"wall distance is geometry primitive only","no wet pass probability, adhesion, clogging, recovery, yield, detection probability"
